time,event_name,gender,product_id,category_id,category_name,brand,price,user_id,session,category_1,category_2,category_3,Label,results
2022-12-16 02:00:59+09,view,Female,5748490,pd70i3d8,appliances.environment.vacuum,Not defined,26.97,182.22.67.85-10.42.0.42-443-41519-6,1c8250d5-79e6-4080-aa13-d2e73c596fa2,appliances,environment,vacuum,0,0
2022-12-16 02:01:23+09,view,Female,5856191,172tl3fb,appliances.environment.vacuum,runail,24.44,172.217.10.3-10.42.0.42-443-57785-6,2721b750-3936-4196-ba9b-206e823f725d,appliances,environment,vacuum,0,0
2022-12-16 02:01:56+09,view,Male,5867188,zbqbogwu,appliances.environment.vacuum,emil,55.56,203.205.147.229-10.42.0.151-80-59697-6,1c8250d5-79e6-4080-aa13-d2e73c596fa2,appliances,environment,vacuum,1,1
2022-12-16 02:05:17+09,view,Male,5826657,5td4p2gd,appliances.environment.vacuum,Not defined,29.71,10.42.0.211-52.84.40.108-55552-443-6,1c8250d5-79e6-4080-aa13-d2e73c596fa2,appliances,environment,vacuum,1,1
2022-12-16 02:05:38+09,view,Female,8098,o7pz0rst,appliances.environment.vacuum,Not defined,1.11,10.42.0.211-54.192.38.154-53341-443-6,79c56618-fb25-41f2-87c9-bbc55880c884,appliances,environment,vacuum,0,0
2022-12-16 02:05:44+09,view,Female,5877459,qng05jry,appliances.environment.vacuum,jessnail,21.43,220.243.219.55-10.42.0.211-80-60878-6,1c8250d5-79e6-4080-aa13-d2e73c596fa2,appliances,environment,vacuum,0,0
2022-12-16 02:06:03+09,view,Male,5810083,7n8p9okf,appliances.environment.vacuum,irisk,24.6,172.217.10.106-10.42.0.151-443-39960-6,1c8250d5-79e6-4080-aa13-d2e73c596fa2,appliances,environment,vacuum,1,1
2022-12-16 02:07:47+09,view,Female,5810083,z3x0c37y,appliances.environment.vacuum,irisk,24.6,172.217.10.46-10.42.0.151-443-49102-6,c759f72a-3093-48d2-b6de-0c780d1231e0,appliances,environment,vacuum,0,0
2022-12-16 02:10:05+09,remove_from_cart,Male,5732026,xa6kwguo,furniture.bathroom.bath,domix,4.16,10.42.0.151-64.71.142.110-42699-80-6,7e42059b-dacf-43b6-a9fb-ce4f34bef3bb,furniture,bathroom,bath,1,1
2022-12-16 02:11:29+09,view,Male,8098,bgdcm1i1,appliances.environment.vacuum,Not defined,1.11,172.217.10.238-10.42.0.151-80-47208-6,79c56618-fb25-41f2-87c9-bbc55880c884,appliances,environment,vacuum,1,1
2022-12-16 02:15:27+09,remove_from_cart,Female,8098,mpb4fy16,appliances.environment.vacuum,Not defined,1.11,10.42.0.151-23.195.146.200-34277-443-6,79c56618-fb25-41f2-87c9-bbc55880c884,appliances,environment,vacuum,0,0
2022-12-16 02:15:07+09,purchase,Male,5825604,6r6zwfoy,appliances.environment.vacuum,polarus,1.27,10.42.0.211-119.146.74.34-38336-80-6,c759f72a-3093-48d2-b6de-0c780d1231e0,appliances,environment,vacuum,1,1
2022-12-16 02:15:07+09,purchase,Female,5810083,5xki1ulf,appliances.environment.vacuum,irisk,24.6,172.217.10.110-10.42.0.42-443-38384-6,c759f72a-3093-48d2-b6de-0c780d1231e0,appliances,environment,vacuum,0,0
2022-12-16 02:16:29+09,view,Male,5810081,w5t1ni4l,furniture.living_room.cabinet,irisk,98.41,10.42.0.211-10.42.0.1-42742-53-17,23b9147b-cfde-4b2b-8391-cf8533c07b39,furniture,living_room,cabinet,1,1
2022-12-16 02:40:20+09,cart,Female,5856191,w4zad1zt,appliances.environment.vacuum,runail,24.44,219.142.78.162-10.42.0.211-443-35277-6,1c8250d5-79e6-4080-aa13-d2e73c596fa2,appliances,environment,vacuum,0,0
2022-12-16 02:50:16+09,view,Male,5884577,cv36vc8i,appliances.environment.vacuum,max,47.46,157.240.2.20-10.42.0.211-443-35545-6,3d4bebe0-a116-46bd-99fe-cef4c9376a32,appliances,environment,vacuum,1,1
2022-12-16 02:50:49+09,remove_from_cart,Female,5810084,7t41wvw3,appliances.environment.vacuum,irisk,24.6,172.217.12.202-10.42.0.211-443-36974-6,529db140-b821-4879-bce5-9ee0b542412c,appliances,environment,vacuum,0,0
2022-12-16 02:50:50+09,remove_from_cart,Male,5810084,bhm2un6v,appliances.environment.vacuum,irisk,24.6,10.42.0.211-23.9.107.127-40628-443-6,529db140-b821-4879-bce5-9ee0b542412c,appliances,environment,vacuum,1,1
2022-12-16 03:00:30+09,view,Male,5896431,lvjveaob,appliances.environment.vacuum,jessnail,53.17,10.42.0.211-123.59.190.237-40651-80-6,5284c22d-f716-42f3-ac84-86c3303a2a9c,appliances,environment,vacuum,1,1
2022-12-16 03:01:14+09,view,Male,5854573,j60j7e9b,appliances.environment.vacuum,jessnail,46.83,202.77.129.150-10.42.0.211-80-41782-6,a1e8b76f-d26f-4d76-add0-a96ab2cf2de9,appliances,environment,vacuum,1,1
2022-12-16 03:01:40+09,view,Male,5884577,78qyuk5x,appliances.environment.vacuum,max,47.46,172.217.3.110-10.42.0.151-443-35403-6,6083ca2a-498e-4766-b97c-ae9da44e5484,appliances,environment,vacuum,1,1
2022-12-16 03:03:34+09,cart,Male,5774248,vv1wjen0,furniture.living_room.cabinet,Not defined,79.35,216.58.217.163-10.42.0.211-80-40400-6,ac6a17c5-647d-414f-85a1-e0fc8a11c8f3,furniture,living_room,cabinet,1,1
2022-12-16 03:03:56+09,view,Male,5824088,s5w8rf6t,appliances.environment.vacuum,polarus,70.63,10.42.0.151-119.146.74.33-50169-443-6,c8a2d962-7512-42da-96e1-2d53ab3789e7,appliances,environment,vacuum,1,1
2022-12-16 03:12:08+09,view,Male,5810083,y7d3ux28,appliances.environment.vacuum,irisk,24.6,180.149.136.194-10.42.0.211-80-56932-6,49cebe9c-733d-482f-b370-c5c785a981b4,appliances,environment,vacuum,1,1
2022-12-16 03:12:29+09,cart,Male,5810083,kfsuiz5t,appliances.environment.vacuum,irisk,24.6,10.42.0.151-46.173.91.165-43477-20147-17,49cebe9c-733d-482f-b370-c5c785a981b4,appliances,environment,vacuum,1,1
2022-12-16 03:14:47+09,cart,Female,5823937,zvngy7zz,appliances.environment.vacuum,polarus,94.44,220.243.219.55-10.42.0.211-80-54837-6,8bd44179-059d-4c0d-8ed1-3209523084f9,appliances,environment,vacuum,0,0
2022-12-16 03:23:36+09,remove_from_cart,Male,5807068,x4qdiln9,furniture.bathroom.bath,masura,6.02,10.42.0.211-66.198.24.250-53276-443-6,0c813963-8f60-4a82-aa42-4ee608866cba,furniture,bathroom,bath,1,1
2022-12-16 03:23:48+09,view,Female,5856191,anls8gri,appliances.environment.vacuum,runail,24.44,10.42.0.211-64.71.142.95-56712-443-6,4f474638-595e-476b-9fa2-3d88491f5b5d,appliances,environment,vacuum,0,0
2022-12-16 03:27:40+09,view,Female,5810081,8p1agcm2,furniture.living_room.cabinet,irisk,98.41,172.217.3.98-10.42.0.211-443-36964-6,9119a9fc-000c-40da-ae08-683f6fc4ddd6,furniture,living_room,cabinet,0,0
2022-12-16 03:29:17+09,remove_from_cart,Female,8098,er6lz09f,appliances.environment.vacuum,Not defined,1.11,172.217.12.142-10.42.0.151-443-44082-6,23327397-7c87-4f39-9cbe-5fc95eafc85f,appliances,environment,vacuum,0,0
2022-12-16 03:29:17+09,remove_from_cart,Male,8098,z8ix4kz7,appliances.environment.vacuum,Not defined,1.11,10.42.0.211-107.22.224.100-40851-443-6,23327397-7c87-4f39-9cbe-5fc95eafc85f,appliances,environment,vacuum,1,1
2022-12-16 03:29:45+09,view,Male,89343,lmoekp1m,furniture.living_room.cabinet,Not defined,299.81,209.10.120.26-10.42.0.211-80-44657-6,9119a9fc-000c-40da-ae08-683f6fc4ddd6,furniture,living_room,cabinet,1,1
2022-12-16 03:36:01+09,view,Male,5823935,nqxo3f45,appliances.environment.vacuum,polarus,53.81,10.42.0.211-104.97.95.172-39543-80-6,541ada29-6ad3-411d-be06-ac2deee43e12,appliances,environment,vacuum,1,1
2022-12-16 03:43:13+09,view,Female,5856193,h0h0d93t,furniture.living_room.cabinet,runail,82.54,10.42.0.211-82.211.175.171-60774-45978-17,6e539923-b410-48c5-84dc-1fd1795d00c2,furniture,living_room,cabinet,0,0
2022-12-16 03:43:28+09,cart,Male,5885586,60qmiwjm,appliances.environment.vacuum,polarus,68.1,222.73.28.96-10.42.0.211-80-49081-6,541ada29-6ad3-411d-be06-ac2deee43e12,appliances,environment,vacuum,1,1
2022-12-16 03:43:54+09,view,Male,5771614,3p2dl8yf,furniture.living_room.cabinet,kosmekka,150.79,174.35.73.135-10.42.0.211-80-45965-6,a96505d4-93a0-460f-906a-397244a3c3cb,furniture,living_room,cabinet,1,1
2022-12-16 03:44:03+09,view,Female,5856193,ibx89gqw,furniture.living_room.cabinet,runail,82.54,10.42.0.151-98.139.199.204-58563-443-6,82b8f6c4-fc43-41c3-a828-5b8c307101f5,furniture,living_room,cabinet,0,0
2022-12-16 03:44:10+09,cart,Female,5885588,hlhfx3fm,appliances.environment.vacuum,polarus,79.21,10.42.0.151-54.192.38.18-45588-443-6,541ada29-6ad3-411d-be06-ac2deee43e12,appliances,environment,vacuum,0,0
2022-12-16 03:44:19+09,purchase,Female,5823935,5f42du0b,appliances.environment.vacuum,polarus,53.81,10.42.0.151-10.42.0.1-38113-53-17,6e5fb8d9-81e2-4a00-b34e-0902cc617dae,appliances,environment,vacuum,0,0
2022-12-16 04:46:00+09,cart,Female,5861761,rdgyej4p,appliances.environment.vacuum,emil,48.41,10.42.0.151-10.42.0.1-54443-53-17,8438d6c6-088f-444c-8a6b-4b9ab537d896,appliances,environment,vacuum,0,0
2022-12-16 04:48:24+09,purchase,Female,5861761,j1yqn9xg,appliances.environment.vacuum,emil,48.41,10.42.0.211-10.42.0.1-29837-53-17,8438d6c6-088f-444c-8a6b-4b9ab537d896,appliances,environment,vacuum,0,0
2022-12-16 05:01:30+09,view,Female,5884577,6f6t558e,appliances.environment.vacuum,max,47.46,199.59.149.202-10.42.0.151-443-46314-6,b742e834-e56b-402c-906a-912624fd1885,appliances,environment,vacuum,0,0
2022-12-16 05:04:48+09,cart,Male,5810084,4ah705nc,appliances.environment.vacuum,irisk,24.6,10.42.0.211-10.42.0.1-23004-53-17,914e9f4f-5dd1-4012-a4b4-fd9191f0f63e,appliances,environment,vacuum,1,1
2022-12-16 05:04:57+09,cart,Female,5854574,u2uswgy3,appliances.environment.vacuum,jessnail,21.43,10.42.0.211-103.7.30.118-49042-80-6,914e9f4f-5dd1-4012-a4b4-fd9191f0f63e,appliances,environment,vacuum,0,0
2022-12-16 05:08:33+09,view,Female,5774248,rgzmpoxv,furniture.living_room.cabinet,Not defined,79.35,10.42.0.211-23.206.173.182-34066-80-6,2f05b397-6ade-46d7-bb33-d010bc8329b9,furniture,living_room,cabinet,0,0
2022-12-16 05:08:18+09,view,Female,5856193,3nipr212,furniture.living_room.cabinet,runail,82.54,10.42.0.151-121.12.98.78-58833-80-6,2f05b397-6ade-46d7-bb33-d010bc8329b9,furniture,living_room,cabinet,0,0
2022-12-16 05:15:42+09,view,Female,5861098,rcbw54xc,appliances.environment.vacuum,polarus,94.44,10.42.0.211-111.1.17.152-56497-8077-6,18e74abd-678e-438f-a522-c65d66a633ed,appliances,environment,vacuum,0,0
2022-12-16 05:23:55+09,remove_from_cart,Female,5856191,y9sel25v,appliances.environment.vacuum,runail,24.44,10.42.0.211-66.198.178.50-46615-443-6,914e9f4f-5dd1-4012-a4b4-fd9191f0f63e,appliances,environment,vacuum,0,0
2022-12-16 05:24:00+09,remove_from_cart,Male,5810084,1rq612hm,appliances.environment.vacuum,irisk,24.6,10.42.0.211-10.42.0.1-18795-53-17,914e9f4f-5dd1-4012-a4b4-fd9191f0f63e,appliances,environment,vacuum,1,1
2022-12-16 05:24:00+09,remove_from_cart,Male,5810084,ehm4fgos,appliances.environment.vacuum,irisk,24.6,172.217.6.234-10.42.0.211-443-37807-6,914e9f4f-5dd1-4012-a4b4-fd9191f0f63e,appliances,environment,vacuum,1,1
2022-12-16 05:24:30+09,view,Female,5774248,3r0nqzgu,furniture.living_room.cabinet,Not defined,79.35,10.42.0.42-121.12.98.78-44530-80-6,984b2a36-b770-4598-8724-16e9da92f502,furniture,living_room,cabinet,0,0
2022-12-16 05:25:09+09,cart,Male,5856191,b4kzgubs,appliances.environment.vacuum,runail,24.44,10.42.0.151-121.12.98.62-47635-80-6,914e9f4f-5dd1-4012-a4b4-fd9191f0f63e,appliances,environment,vacuum,1,1
2022-12-16 05:25:42+09,view,Male,5854574,9aegg5sd,appliances.environment.vacuum,jessnail,21.43,10.42.0.211-104.192.110.245-33934-80-6,914e9f4f-5dd1-4012-a4b4-fd9191f0f63e,appliances,environment,vacuum,1,1
2022-12-16 05:33:51+09,cart,Female,5732039,m87tapjp,furniture.bathroom.bath,domix,3.41,10.42.0.211-10.42.0.1-63765-53-17,8c00caaf-012d-4d89-acab-bf8954cabffb,furniture,bathroom,bath,0,0
2022-12-16 05:33:53+09,cart,Female,5732039,9j5yda3k,furniture.bathroom.bath,domix,3.41,172.217.12.138-10.42.0.42-443-38124-17,8c00caaf-012d-4d89-acab-bf8954cabffb,furniture,bathroom,bath,0,0
2022-12-16 05:35:49+09,view,Female,5885590,ndnkhj42,appliances.environment.vacuum,polarus,78.57,222.73.31.32-10.42.0.211-8288-55123-6,d27ece6a-e563-4986-976b-edfb6abeb9dc,appliances,environment,vacuum,0,0
2022-12-16 05:37:28+09,view,Male,5823936,oknxic4q,appliances.environment.vacuum,polarus,57.94,172.217.6.238-10.42.0.151-443-43099-6,e6c32359-92cb-42f1-aea3-7f6213f65d9f,appliances,environment,vacuum,1,1
2022-12-16 05:38:53+09,view,Male,5748491,c800ynvc,appliances.environment.vacuum,Not defined,28.56,182.22.31.252-10.42.0.211-443-48456-6,13677eb6-4978-4615-8838-20dcd856a50d,appliances,environment,vacuum,1,1
2022-12-16 05:39:08+09,view,Male,8098,9xmeyrtu,appliances.environment.vacuum,Not defined,1.11,10.42.0.42-74.125.29.100-52987-443-6,e6c32359-92cb-42f1-aea3-7f6213f65d9f,appliances,environment,vacuum,1,1
2022-12-16 05:40:01+09,view,Female,5810082,fugb778l,appliances.environment.vacuum,irisk,24.6,172.217.12.195-10.42.0.151-443-52177-6,13677eb6-4978-4615-8838-20dcd856a50d,appliances,environment,vacuum,0,0
2022-12-16 05:40:42+09,view,Female,5856191,asyrijyg,appliances.environment.vacuum,runail,24.44,10.42.0.211-101.69.121.110-52389-80-6,13677eb6-4978-4615-8838-20dcd856a50d,appliances,environment,vacuum,0,0
2022-12-16 05:41:48+09,view,Female,5854573,32vs98ya,appliances.environment.vacuum,jessnail,46.83,172.217.11.46-10.42.0.151-443-54170-6,13677eb6-4978-4615-8838-20dcd856a50d,appliances,environment,vacuum,0,0
2022-12-16 05:42:05+09,view,Male,5395,jljjqs6m,appliances.environment.vacuum,runail,30.95,172.217.6.238-10.42.0.211-80-45320-6,13677eb6-4978-4615-8838-20dcd856a50d,appliances,environment,vacuum,1,1
2022-12-16 05:42:31+09,view,Female,5810083,z5i8hyja,appliances.environment.vacuum,irisk,24.6,10.42.0.151-106.39.169.66-35701-443-6,13677eb6-4978-4615-8838-20dcd856a50d,appliances,environment,vacuum,0,0
2022-12-16 05:42:49+09,view,Male,5877462,bsgqsdbx,appliances.environment.vacuum,jessnail,21.43,162.208.22.39-10.42.0.211-443-49086-6,13677eb6-4978-4615-8838-20dcd856a50d,appliances,environment,vacuum,1,1
